,auc_p,auc_l,f1_binary,f1_micro,f1_macro,f1_weighted,mean_velocity,mean_acceleration,iterations
0,0.5625211731946667,0.5,0.9466815809097688,0.8987610619469026,0.4733407904548844,0.8508405429840364,5.521167658527085,554.2858692349454,2
1,0.5791319747601749,0.5,0.9466815809097688,0.8987610619469026,0.4733407904548844,0.8508405429840364,9.667840139327874,463.17057767349036,4
2,0.5794666145197851,0.5,0.9466815809097688,0.8987610619469026,0.4733407904548844,0.8508405429840364,12.279546644732116,377.4042653725903,6
3,0.6030194696992649,0.5017482517482518,0.9468581018086891,0.8991150442477877,0.4769133714618359,0.8517046909207601,13.738594472272283,317.5440127191685,8
4,0.626506223197834,0.513395230212875,0.9475060713618532,0.9005309734513275,0.5006890626169536,0.8570355124230629,14.224543218422294,296.10068852439383,10
5,0.6627588638222746,0.5230970290048668,0.9477821448624368,0.9012389380530973,0.5194936782944106,0.8610632057909638,14.169635235761318,293.48746032714075,12
6,0.6903287732354294,0.5248452807531184,0.9479595657057281,0.9015929203539823,0.5226810815541628,0.8618500814810571,14.063958858675413,273.9149151883256,14
7,0.6985198731949421,0.5312475039729865,0.9480787253983131,0.9019469026548672,0.5343568230166168,0.8643091933054527,13.691014826957876,266.8188820509253,16
8,0.7247099100190868,0.54269755451323,0.9485349361382419,0.9030088495575221,0.5540220692961149,0.8686548087634819,13.31229289865517,255.10034332702654,18
9,0.7483467694180572,0.5603529003489618,0.9489161168708765,0.904070796460177,0.5817044352470324,0.8745638754942965,12.9991339203553,235.3717902909879,20
10,0.7475287611167879,0.5613134403996949,0.9483018867924529,0.9030088495575221,0.582722371967655,0.8742801230827946,12.385237810269516,229.11242347941237,22
11,0.7557184839579483,0.5688731315946756,0.9480052940064284,0.9026548672566371,0.5931162204104165,0.8761481081314129,11.889594301949064,228.6393842502497,24
12,0.7666610663853675,0.5809139659080581,0.9490626775231964,0.9047787610619469,0.6100326937751483,0.880416606477574,11.538074515603757,213.74053352599782,26
13,0.776222399105424,0.5923640164483016,0.9495256166982923,0.9058407079646018,0.6247628083491461,0.8837683330254741,11.15061192240189,201.87442472718467,28
14,0.7930067175833225,0.6022627431646731,0.9500095038965976,0.9069026548672566,0.6369584794547255,0.8866235973547387,10.808231395945102,188.57953181142022,30
15,0.7982604240973677,0.6055623187367969,0.9501711677443895,0.9072566371681416,0.640901910402807,0.8875509853729258,10.310921781769062,177.62317364337562,32
16,0.796620276139772,0.6053653908124172,0.9499714666159407,0.9069026548672566,0.6403801353435937,0.8872860713990265,9.78097715397906,180.3601510060855,34
17,0.7960143440647577,0.6030263552910264,0.9491912464319695,0.9054867256637168,0.636620939671681,0.8859026745852845,9.456229421047475,170.9425211582448,36
18,0.793788920807432,0.6043807511905188,0.948971820258949,0.9051327433628319,0.6378024930440473,0.8859669157750821,9.160625076352664,154.0488776445851,38
19,0.7970747251960328,0.6105860464860071,0.9488939740655988,0.9051327433628319,0.6443977259490555,0.8872402204646562,8.795121460038112,150.1977954746527,40
20,0.8084263117740865,0.6171851976302547,0.949217258495609,0.9058407079646018,0.651793095267222,0.888995445622463,8.456782475785438,144.56219349280894,42
21,0.8186280045279652,0.6173821255546343,0.9494178278297385,0.9061946902654867,0.652324485691025,0.8892629989082008,8.076488694803778,139.62072426828684,44
22,0.8252519438025543,0.6243751325476414,0.9501432664756447,0.9076106194690265,0.6606138019125212,0.8915199554207398,7.7203243913667325,138.25730559488989,46
23,0.8283394431484231,0.6243751325476414,0.9501432664756447,0.9076106194690265,0.6606138019125212,0.8915199554207398,7.512918527803056,130.2773719071917,48
24,0.8277004602329534,0.6263203122202728,0.9505253104106972,0.9083185840707965,0.6632144624342643,0.8923512201301593,7.275624583848381,119.71649029767319,50
25,0.8284179388945045,0.6226268807993897,0.9499618029029794,0.9072566371681416,0.6585557806785428,0.8909585304384208,7.025498195279205,115.15338432770851,52
26,0.8311267306934893,0.6259264563715135,0.9501242117332314,0.9076106194690265,0.662112465578846,0.891808205078255,6.791553066534716,108.41119973200243,54
27,0.8334292725785439,0.6259264563715135,0.9501242117332314,0.9076106194690265,0.662112465578846,0.891808205078255,6.497411299343894,104.81140824849388,56
28,0.8383139113741713,0.6259264563715135,0.9501242117332314,0.9076106194690265,0.662112465578846,0.891808205078255,6.242588916954239,102.9082003454735,58
29,0.8441074482823203,0.6261233842958931,0.9503247993886129,0.9079646017699115,0.6626623996943064,0.8920795276628986,6.080946567774785,95.36150394638278,60
30,0.8465394392924916,0.6315650674650282,0.9510703363914373,0.9093805309734513,0.6693150725019388,0.8940211289773513,5.86556142417868,89.48492888103777,62
31,0.8476177229623468,0.6319589233137874,0.9514711501719526,0.9100884955752212,0.6704471135475147,0.8945700001014469,5.628138010920082,86.55501793701602,64
32,0.8488791633730586,0.6282654918929043,0.9509073543457498,0.9090265486725664,0.6658151229560074,0.893182484839579,5.398463719526583,81.91161976585227,66
33,0.8494837183297207,0.6280685639685246,0.9507069163163928,0.9086725663716814,0.6652573043120426,0.8929096851424148,5.161623402127314,79.93762960878904,68
34,0.8507658155157172,0.6298168157167763,0.9508885916300401,0.9090265486725664,0.6672908185967946,0.893466316877822,4.951574453447633,79.24490472637588,70
35,0.852591874450874,0.6298168157167763,0.9508885916300401,0.9090265486725664,0.6672908185967946,0.893466316877822,4.7908542933340845,74.24091340124784,72
36,0.8543931452556895,0.6298168157167763,0.9508885916300401,0.9090265486725664,0.6672908185967946,0.893466316877822,4.630056693471735,72.07656795228773,74
37,0.8562288440193127,0.6298168157167763,0.9508885916300401,0.9090265486725664,0.6672908185967946,0.893466316877822,4.484699560994976,68.97263215186874,76
38,0.857808398769407,0.6313681395406485,0.9508698145670044,0.9090265486725664,0.6687523297178697,0.89374726542233,4.359646410264825,63.80257229169126,78
39,0.8580466402443558,0.6331163912889002,0.9510516252390058,0.9093805309734513,0.6707639078575981,0.8942995635249651,4.216671252995444,61.02486593389937,80
40,0.8578731233319654,0.6348646430371518,0.9512335054503729,0.9097345132743363,0.6727663964306496,0.8948500766506271,4.075794958398999,59.136056954973455,82
41,0.8574792674832061,0.6381642186092757,0.951396861844623,0.9100884955752212,0.6761701290355191,0.8956695375377886,3.933478143454439,55.853039706125685,84
42,0.8580907080316298,0.6381642186092757,0.951396861844623,0.9100884955752212,0.6761701290355191,0.8956695375377886,3.797109762795623,54.10024952875036,86
43,0.8599085042566729,0.6381642186092757,0.951396861844623,0.9100884955752212,0.6761701290355191,0.8956695375377886,3.6818683792692286,52.14181678552301,88
44,0.8619273597611525,0.6381642186092757,0.951396861844623,0.9100884955752212,0.6761701290355191,0.8956695375377886,3.5581330949936416,48.174402239031785,90
45,0.8632549018527751,0.6403063262062869,0.9519801033097379,0.9111504424778761,0.6792997443262637,0.8967683633668894,3.4213102032591314,47.59324451447353,92
46,0.8640935669293289,0.6405032541306666,0.9521805661820965,0.911504424778761,0.6798817522853611,0.8970460806780495,3.2961644525353706,46.75190297038138,94
47,0.8644722744762131,0.6405032541306666,0.9521805661820965,0.911504424778761,0.6798817522853611,0.8970460806780495,3.193229228417332,44.10907188414916,96
