,auc,f1_binary,f1_micro,f1_macro,mean_velocity,mean_acceleration,iterations
0,0.5,0.9439252336448598,0.8938053097345132,0.4719626168224299,2.3272724,236.55487,2
1,0.5048019801980198,0.9442573887018332,0.8945132743362831,0.48199711540354817,4.2712417,217.70934,4
2,0.5357590759075908,0.9454271735039518,0.8973451327433628,0.5411659677043569,5.7782393,198.13081,6
3,0.5746534653465347,0.9471090047393365,0.9012389380530973,0.6015545023696682,6.8991427,180.27013,8
4,0.5954125412541253,0.9470274390243902,0.9015929203539823,0.6277425752335881,7.7020555,163.59792,10
5,0.6143069306930693,0.9465619613100938,0.9012389380530973,0.6481061554802218,8.206093,150.79431,12
6,0.6179207920792079,0.9456918057954328,0.8998230088495576,0.6505224404831378,8.465492,145.37784,14
7,0.6276072607260725,0.9449364651520986,0.8987610619469026,0.6588717413479791,8.586879,139.00157,16
8,0.6366171617161716,0.9450125409994212,0.8991150442477877,0.6673670842042074,8.62702,131.80287,18
9,0.6428877887788779,0.9453351361792544,0.8998230088495576,0.6735132340515722,8.573116,127.53865,20
10,0.6637623762376237,0.9468992248062016,0.9030088495575221,0.6938577756684069,8.453455,123.522644,22
11,0.6702310231023102,0.9474296799224055,0.904070796460177,0.699977466223829,8.368728,116.220375,24
12,0.6797524752475248,0.9495733126454616,0.9079646017699115,0.7116287615858887,8.246132,108.01973,26
13,0.6762211221122112,0.9490013573783207,0.9069026548672566,0.7077663987702962,8.047518,103.93308,28
14,0.6772937293729373,0.9485736464195614,0.9061946902654867,0.7076872256242677,7.8210034,101.41354,30
15,0.6724917491749175,0.9482257126236184,0.9054867256637168,0.7033217812610992,7.620567,97.213905,32
16,0.6746369636963696,0.9473684210526315,0.904070796460177,0.7032251286899884,7.4212093,91.90956,34
17,0.6784488448844884,0.946692607003891,0.9030088495575221,0.7047188525215533,7.2038465,88.74734,36
18,0.6832508250825082,0.9470404984423676,0.9037168141592921,0.7089288095324678,6.988965,84.15564,38
19,0.6797194719471946,0.9464668094218416,0.9026548672566371,0.7052022156271001,6.7707014,79.87031,40
20,0.6857920792079208,0.946588693957115,0.9030088495575221,0.709832808517019,6.522346,77.00882,42
21,0.6848019801980199,0.945560975609756,0.9012389380530973,0.7070662020905923,6.274059,75.93673,44
22,0.6883333333333332,0.9461358313817331,0.9023008849557522,0.7107105012421974,6.070891,73.320816,46
23,0.6901980198019801,0.9465261514441843,0.9030088495575221,0.7128068019578335,5.8779106,69.19582,48
24,0.6844059405940595,0.945149326566465,0.9005309734513275,0.7059712477234602,5.6777396,66.264046,50
25,0.6873432343234323,0.9451064661066615,0.9005309734513275,0.7079581294751763,5.4795213,64.92521,52
26,0.6898844884488449,0.9446508898885194,0.8998230088495576,0.7088245138455632,5.3028574,62.57691,54
27,0.68996699669967,0.9431818181818182,0.8973451327433628,0.7060231435231435,5.1323147,59.21294,56
28,0.698976897689769,0.9432554486550166,0.8976991150442478,0.7122022306111708,4.959051,56.855507,58
29,0.7083828382838284,0.9437450826121164,0.8987610619469026,0.719222364627613,4.786353,55.067703,60
30,0.7115181518151815,0.9439086793938201,0.8991150442477877,0.721514972385838,4.6386914,52.919495,62
31,0.7098514851485148,0.9437229437229437,0.8987610619469026,0.7201009084811902,4.489004,50.45588,64
32,0.706039603960396,0.9444117069338047,0.8998230088495576,0.7190752631270096,4.33347,49.260387,66
33,0.7055610561056105,0.9454688112985484,0.9015929203539823,0.7209228114463757,4.190415,47.758446,68
34,0.7040924092409241,0.9454901960784313,0.9015929203539823,0.7200178253119429,4.065956,45.69786,70
35,0.707029702970297,0.945447409733124,0.9015929203539823,0.7218211777907497,3.9394124,43.4474,72
36,0.7137788778877887,0.9447176864056659,0.9005309734513275,0.7245634287407519,3.810237,42.429718,74
37,0.7146534653465346,0.9440724694761717,0.8994690265486726,0.7237844864863376,3.6870935,41.41501,76
38,0.7163201320132013,0.9442584203269647,0.8998230088495576,0.7251833113851229,3.5818563,39.96836,78
39,0.719059405940594,0.944006309148265,0.8994690265486726,0.7263284140897035,3.4778447,38.12605,80
40,0.7173927392739274,0.9438202247191011,0.8991150442477877,0.7249430413023581,3.3726616,36.851444,82
41,0.722112211221122,0.9456478928712091,0.9023008849557522,0.7315652051768633,3.2701113,35.578777,84
42,0.7225082508250824,0.9460629921259842,0.9030088495575221,0.7326806188700097,3.1737306,34.503353,86
43,0.7208415841584158,0.9458767959063177,0.9026548672566371,0.7312863768635279,3.0750031,33.42932,88
44,0.7237788778877887,0.9458341540279692,0.9026548672566371,0.7329519810279462,2.9816322,32.755905,90
45,0.7271122112211221,0.9462068965517242,0.903362831858407,0.7357121439280361,2.8985674,31.695293,92
46,0.7313201320132013,0.9459352801894239,0.9030088495575221,0.7375724510912756,2.8238168,30.376554,94
47,0.7313201320132013,0.9459352801894239,0.9030088495575221,0.7375724510912756,2.7473214,29.13905,96
48,0.7285808580858084,0.9461856889414547,0.903362831858407,0.7365243869317326,2.6694622,28.506784,98
49,0.7267161716171617,0.9457914449043958,0.9026548672566371,0.7345941626601702,2.596306,27.763453,100
50,0.7233828382838283,0.9454187192118226,0.9019469026548672,0.73183979438852,2.531883,26.739405,102
51,0.725049504950495,0.9456050453291289,0.9023008849557522,0.7332191893312312,2.46743,25.598492,104
52,0.7325082508250824,0.9471817106819078,0.9051327433628319,0.740951966452065,2.4021428,24.811604,106
53,0.7339768976897689,0.9471608832807571,0.9051327433628319,0.7417465316057765,2.3365278,24.097906,108
54,0.7337788778877887,0.9469532636560836,0.9047787610619469,0.7411795679247603,2.2733192,23.342297,110
55,0.7331848184818481,0.9463299131807419,0.9037168141592921,0.7394879806453538,2.2102628,22.65618,112
56,0.7348514851485148,0.9465166765344385,0.904070796460177,0.7408398133958642,2.1485791,22.26317,114
57,0.7352475247524752,0.9469323337936476,0.9047787610619469,0.7419687486524176,2.0905206,21.769316,116
58,0.7354455445544554,0.9471400394477317,0.9051327433628319,0.7425355369652451,2.0384123,21.070965,118
59,0.7339768976897689,0.9471608832807571,0.9051327433628319,0.7417465316057765,1.9865626,20.37088,120
60,0.7358415841584158,0.9475552050473186,0.9058407079646018,0.7436737962952856,1.9350703,19.92179,122
61,0.7356435643564356,0.9473476631828042,0.9054867256637168,0.7431038834048735,1.8851578,19.565973,124
62,0.7369141914191418,0.9471191791633781,0.9051327433628319,0.7433190397535103,1.8401606,19.056694,126
63,0.7369141914191418,0.9471191791633781,0.9051327433628319,0.7433190397535103,1.7972745,18.457394,128
64,0.735049504950495,0.94672454617206,0.904424778761062,0.7414035101994321,1.7556534,18.056997,130
65,0.7352475247524752,0.9469323337936476,0.9047787610619469,0.7419687486524176,1.7151937,17.73699,132
66,0.7337788778877887,0.9469532636560836,0.9047787610619469,0.7411795679247603,1.6782926,17.306759,134
67,0.7323102310231022,0.9469741770155726,0.9047787610619469,0.7403848354748575,1.6436995,16.806124,136
68,0.7306435643564356,0.946787544343713,0.904424778761062,0.7390187721718565,1.6094804,16.417128,138
69,0.7289768976897689,0.9466009852216749,0.904070796460177,0.737648318697794,1.575828,16.087416,140
70,0.7356435643564356,0.9473476631828042,0.9054867256637168,0.7431038834048735,1.5447863,15.732646,142
71,0.7356435643564356,0.9473476631828042,0.9054867256637168,0.7431038834048735,1.5146519,15.347454,144
72,0.7356435643564356,0.9473476631828042,0.9054867256637168,0.7431038834048735,1.4851332,15.079203,146
73,0.7358415841584158,0.9475552050473186,0.9058407079646018,0.7436737962952856,1.4569391,14.814286,148
74,0.7343729372937293,0.9475758770201025,0.9058407079646018,0.7428851607322735,1.4308625,14.460704,150
75,0.7343729372937293,0.9475758770201025,0.9058407079646018,0.7428851607322735,1.4054826,14.074856,152
76,0.7314356435643564,0.947617172115006,0.9058407079646018,0.7412911035400205,1.3796382,13.813031,154
77,0.733102310231023,0.9478038211542249,0.9061946902654867,0.7426628180814754,1.3541535,13.570028,156
78,0.733102310231023,0.9478038211542249,0.9061946902654867,0.7426628180814754,1.3305976,13.284337,158
79,0.7329042904290428,0.9475965327029157,0.9058407079646018,0.7420909492782871,1.3074398,12.983593,160
80,0.7329042904290428,0.9475965327029157,0.9058407079646018,0.7420909492782871,1.284492,12.798161,162
81,0.7329042904290428,0.9475965327029157,0.9058407079646018,0.7420909492782871,1.2627033,12.651423,164
82,0.7329042904290428,0.9475965327029157,0.9058407079646018,0.7420909492782871,1.2424057,12.438383,166
83,0.7345709570957095,0.9477832512315271,0.9061946902654867,0.7434568430070678,1.2230818,12.185729,168
84,0.7379042904290429,0.9481569091267494,0.9069026548672566,0.7461755082895445,1.2040704,12.006406,170
85,0.7379042904290429,0.9481569091267494,0.9069026548672566,0.7461755082895445,1.1855322,11.841761,172
86,0.7379042904290429,0.9481569091267494,0.9069026548672566,0.7461755082895445,1.1679076,11.689582,174
87,0.7379042904290429,0.9481569091267494,0.9069026548672566,0.7461755082895445,1.1509858,11.55372,176
88,0.738102310231023,0.9483642096964919,0.9072566371681416,0.7467515492926904,1.1348345,11.435271,178
89,0.738102310231023,0.9483642096964919,0.9072566371681416,0.7467515492926904,1.1195246,11.287733,180
90,0.7383003300330032,0.9485714285714286,0.9076106194690265,0.7473291925465839,1.104475,11.119452,182
91,0.7383003300330032,0.9485714285714286,0.9076106194690265,0.7473291925465839,1.0894665,10.97925,184
92,0.7383003300330032,0.9485714285714286,0.9076106194690265,0.7473291925465839,1.074554,10.88733,186
93,0.7383003300330032,0.9485714285714286,0.9076106194690265,0.7473291925465839,1.0603111,10.828274,188
94,0.7384983498349834,0.9487785657998424,0.9079646017699115,0.7479084466629874,1.0473123,10.763822,190
95,0.7384983498349834,0.9487785657998424,0.9079646017699115,0.7479084466629874,1.0351285,10.6707535,192
96,0.7383003300330032,0.9485714285714286,0.9076106194690265,0.7473291925465839,1.0230529,10.575979,194
97,0.738102310231023,0.9483642096964919,0.9072566371681416,0.7467515492926904,1.0109273,10.517121,196
98,0.738102310231023,0.9483642096964919,0.9072566371681416,0.7467515492926904,0.9991379,10.458756,198
