,loss,auc,f1_binary,f1_micro,f1_macro,dt,damping,iterations
0,0.13146335692370095,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
1,0.12892481829267752,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
2,0.1266828802872074,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
3,0.12474909341493437,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
4,0.12311699115612416,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
5,0.1217657836606255,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
6,0.12065000417040622,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
7,0.1197187522053226,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
8,0.11892814346569276,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
9,0.11823322891846136,0.5841373195065128,0.9526861451460886,0.9111504424778761,0.6125749566310154,0.002,0.05,250.0
10,0.11757653269119846,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
11,0.11690068881553872,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
12,0.11616289808139131,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
13,0.11534673527491002,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
14,0.11445954422934437,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
15,0.11352278838778043,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
16,0.11256460473687187,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
17,0.11161583872154326,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
18,0.11069517054078729,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
19,0.10981815358926575,0.5805735528248883,0.95272179318139,0.9111504424778761,0.6083257059748592,0.002,0.05,250.0
20,0.10899468761370619,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
21,0.10822708966995168,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
22,0.10750660809371165,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
23,0.10683457712122098,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
24,0.10621250785994603,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
25,0.10562729152741857,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
26,0.10505185095977848,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
27,0.10447805798975925,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
28,0.10390497791177022,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
29,0.1033363528417953,0.6092780875220526,0.9526335733232285,0.911504424778761,0.6402952812852701,0.002,0.05,250.0
30,0.10277718075640946,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
31,0.10223179268678735,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
32,0.10170350830375785,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
33,0.1011948577193655,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
34,0.10070745100216849,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
35,0.10024200852950647,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
36,0.09979835427704953,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
37,0.09937540330820857,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
38,0.0989708133598848,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
39,0.09858170132142852,0.6324102988093117,0.9542086262587878,0.9146902654867257,0.6657348040854663,0.002,0.05,250.0
40,0.09820509996874163,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
41,0.09783805484811375,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
42,0.0974780067340775,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
43,0.09712300699720565,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
44,0.0967721451851806,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
45,0.09642459998170427,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
46,0.0960801764805497,0.6434904013425211,0.9545021892252047,0.9153982300884955,0.6762435379375393,0.002,0.05,250.0
