,loss,auc_p,auc_l,f1_binary,f1_micro,f1_macro,f1_weighted,dt,damping,iterations
0,0.3075132579734531,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
1,0.2694702471406082,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
2,0.23213636820079447,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
3,0.21695981614353338,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
4,0.20817485794561144,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
5,0.1923559774358592,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
6,0.17577762071223804,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
7,0.15845583661179427,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
8,0.13308315362336084,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
9,0.11574229439814215,0.5269095821304117,0.5,0.9515680089070329,0.9076106194690265,0.47578400445351643,0.8636532300310202,0.01,0.05,100.0
10,0.13110281929531822,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
11,0.11999769214672436,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
12,0.10202485497171371,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
13,0.09649058886578461,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
14,0.09628930297445093,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
15,0.09522405473315898,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
16,0.09242944437530769,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
17,0.0887951789586364,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
18,0.08530099602730634,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
19,0.08271871187400887,0.812402496099844,0.5570468795763325,0.9547325102880658,0.9143362831858407,0.5793399393545592,0.8853679361191134,0.01,0.05,100.0
20,0.0811164184427974,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
21,0.08014696827369326,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
22,0.07969925311064127,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
23,0.07900870300935897,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
24,0.07792339499045738,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
25,0.07739839954196032,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
26,0.07614288056495642,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
27,0.07538392716129254,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
28,0.07483007268643094,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
29,0.07461011573051408,0.8603774036018911,0.6743526637617229,0.9591914569031273,0.9242477876106194,0.716048930422007,0.9142638820984743,0.01,0.05,100.0
30,0.07465340285985722,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
31,0.07410852060349472,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
32,0.0735634353875768,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
33,0.07307804457748375,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
34,0.07270260941507334,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
35,0.07236947393270764,0.8755327224583235,0.6615620946676948,0.960303893637227,0.9260176991150443,0.708723375390042,0.9138171571681897,0.01,0.05,100.0
